trade_type,trade_currency,quantity,trade_settlement_date,trade_status,trade_date,unit_price,coupon_percent,bond_currency,cusip,face_value (mn),isin,issuer_name,bond_maturity_date,status,type,book_name,bond_holder
sell,GBP,2000,30/09/2021,open,30/09/2021,110.35,0.75,GBP,BDCHBW8,900,GB00B6460508,HM Treasury United Kingdon,9/8/2021,active,GOVN,Trading_book_6,UBS
buy,GBP,1000,1/10/2021,open,1/10/2021,110.35,0.75,GBP,BDCHBW8,900,GB00B6460509,HM Treasury United Kingdon,9/8/2021,active,GOVN,Trading_book_6,Barclays
buy,GBP,900,2/10/2019,open,2/10/2019,110.35,0.75,GBP,BDCHBW8,900,GB00B6460510,HM Treasury United Kingdon,9/8/2021,active,GOVN,Trading_book_6,Barclays
sell,GBP,1900,3/10/2019,open,3/10/2019,110.35,0.75,GBP,BDCHBW8,900,GB00B6460511,HM Treasury United Kingdon,9/8/2021,active,GOVN,Trading_book_6,Barclays
buy,GBP,600,4/10/2018,open,4/10/2018,110.35,0.75,GBP,BDCHBW8,900,GB00B6460512,HM Treasury United Kingdon,9/8/2021,active,GOVN,Trading_book_6,British Telecom
buy,GBP,600,5/10/2019,open,5/10/2019,110.35,0.75,GBP,BDCHBW8,900,GB00B6460513,HM Treasury United Kingdon,9/8/2021,active,GOVN,Trading_book_6,Pension Holdings
buy,GBP,700,6/6/2021,open,6/6/2021,110.35,0.75,GBP,BDCHBW8,900,GB00B6460514,HM Treasury United Kingdon,9/8/2021,active,GOVN,Trading_book_6,Pension Holdings
sell,GBP,1300,7/10/2021,open,7/10/2011,110.35,0.75,GBP,BDCHBW8,900,GB00B6460515,HM Treasury United Kingdon,9/8/2021,active,GOVN,Trading_book_6,Pension Holdings
buy,USD,60,27/09/2021,open,4/2/2012,100.13,2.02,USD,87973RAA8,690,US87973RAA86,TEMASEK FINL I LTD GLOBAL MEDIUM TERM NTS BOOK ENTRY REG S,6/8/2021,active,SOVN,Trading_book_4,Zurich Pension fund 4
buy,USD,50,23/08/2021,open,23/08/2012,100.13,2.02,USD,87973RAA8,690,US87973RAA86,TEMASEK FINL I LTD GLOBAL MEDIUM TERM NTS BOOK ENTRY REG S,6/8/2021,active,SOVN,Trading_book_4,Zurich Pension fund 4
buy,USD,75,27/09/2021,open,4/2/2013,100.13,2.02,USD,87973RAA8,690,US87973RAA86,TEMASEK FINL I LTD GLOBAL MEDIUM TERM NTS BOOK ENTRY REG S,6/8/2021,active,SOVN,Trading_book_4,Zurich Pension fund 4
buy,USD,50,23/08/2021,open,23/08/2014,100.13,2.02,USD,87973RAA8,690,US87973RAA86,TEMASEK FINL I LTD GLOBAL MEDIUM TERM NTS BOOK ENTRY REG S,6/8/2021,active,SOVN,Trading_book_4,Zurich Pension fund 4
buy,USD,300,27/09/2021,open,4/2/2016,98.76,1.123,USD,87973RAA8,340,IE00B29LNP31,First Norway Alpha Kl.IV,22/12/2030,active,SOVN,Trading_book_4,Zurich Pension fund 4
buy,USD,300,23/08/2021,open,23/08/2012,98.76,1.123,USD,87973RAA8,340,IE00B29LNP31,First Norway Alpha Kl.IV,22/12/2030,active,SOVN,Trading_book_4,Zurich Pension fund 4
buy,USD,300,27/09/2021,open,4/2/2013,98.76,1.123,USD,87973RAA8,340,IE00B29LNP31,First Norway Alpha Kl.IV,22/12/2030,active,SOVN,Trading_book_4,Zurich Pension fund 4
sell,USD,300,23/08/2021,open,23/08/2015,98.76,1.123,USD,87973RAA8,340,IE00B29LNP31,First Norway Alpha Kl.IV,22/12/2030,active,SOVN,Trading_book_4,Zurich Pension fund 4
